family	system	status	corpus_id_or_repo	head_sha	license	size_kb	mechanism_dirs	note
provenance	Sigstore rekor	MISSING	sigstore/rekor	b49786ad97f6fa7ebcf373f51fb4fac1f112fc1c	Apache-2.0	18205	pkg/types, pkg/pki, pkg/verify (inclusion proofs) [dirs unverified]	only needed for a transparency log
provenance	sigstore-rs	MISSING	sigstore/sigstore-rs	038e36aefac21dd4ae608cda33736a494250fd1f	Apache-2.0	2059	src/cosign, src/bundle, src/rekor [dirs unverified]	compact Rust client
observability	OpenTelemetry spec	MISSING	open-telemetry/opentelemetry-specification	cac5b81ebcfdecb272bb4e2d31f885b7142207d9	Apache-2.0	21370	specification/trace, specification/logs, specification/common [dirs unverified]	legacy Chronica tools/repo/donors.manifest lists opentelemetry-collector, which is not in the Atlas corpus
observability	opentelemetry-rust	MISSING	open-telemetry/opentelemetry-rust	844df52c4cff4d462bf013a0ceb0692d538ca6f6	Apache-2.0	11059	opentelemetry/src/trace, opentelemetry-sdk/src/trace [dirs unverified]	
probabilistic	Stan	MISSING	stan-dev/stan	a5c457d260645b2b12a291839f7b2b7b3a31adc4	BSD-3-Clause	284872	src/stan/mcmc/hmc/nuts, src/stan/model, src/stan/services [dirs unverified]	default branch develop; the AD engine is in stan-dev/math
probabilistic	Stan Math (dep)	MISSING	stan-dev/math	4105b294b6357e1e2a52eea8781077e90946c935	BSD-3-Clause	761462	stan/math/rev/core (reverse-mode AD) [dirs unverified]	large; only needed for AD
probabilistic	Pyro	MISSING	pyro-ppl/pyro	ae65fa4b3dc0eaa243c1a5c29f0710e667c68ece	Apache-2.0	96893	pyro/poutine (effect handlers), pyro/infer [dirs unverified]	default branch dev; overlaps NumPyro
probabilistic	NumPyro	MISSING	pyro-ppl/numpyro	5064a3cc3f1547983e21944a3a63f7a602e0e505	Apache-2.0	118802	numpyro/handlers.py, numpyro/infer/hmc.py [dirs unverified]	DUPLICATE of Pyro at the mechanism level (same effect-handler design); pick one
probabilistic	BoTorch	MISSING	meta-pytorch/botorch (moved from pytorch/botorch)	a1b1ad847b8c93e6a938f742ab0c71f936736111	MIT	146939	botorch/acquisition, botorch/models (GP), botorch/optim [dirs unverified]	repo moved to meta-pytorch; old URL redirects
probabilistic	Ax	MISSING	facebook/Ax	57efa05aefce2a93d4d93227a4acbe2da0150aed	MIT	815025	ax/core (Experiment, Trial, Arm), ax/modelbridge, ax/service [dirs unverified]	815 MB repo; sits on BoTorch; the experiment/trial ledger is the unique part
probabilistic	pymoo	MISSING	anyoptimization/pymoo	23110c155aa8f31b5f1b86928227fb3931ba7f00	Apache-2.0	20176	pymoo/algorithms/moo (NSGA2/3), pymoo/core [dirs unverified]	
probabilistic	DEAP	MISSING	DEAP/deap	8a96fd3a75026f7b30e835f595a5199c75634ddf	LGPL-3.0	11058	deap/base.py, deap/tools, deap/algorithms.py [dirs unverified]	LGPL: principles only; mostly redundant with pymoo
probabilistic	pyribs (QD)	MISSING	icaros-usc/pyribs	7bd723cf9863d480c8f2fec5ba9aa36f3b68c083	MIT	84500	ribs/archives, ribs/emitters, ribs/schedulers [dirs unverified]	
causal	DoWhy	MISSING	py-why/dowhy	cc23521127ba21ade40514539ae7b91db27ca54a	MIT	1208103	dowhy/causal_identifier, dowhy/causal_refuters, dowhy/gcm [dirs unverified]	1.2 GB repo (notebooks/history): sparse checkout
causal	causal-learn	MISSING	py-why/causal-learn	0dacacf36390e3084704636bc3c36e82e35ee0cc	MIT	28480	causallearn/search (PC/FCI/GES), causallearn/utils/cit.py [dirs unverified]	lives at py-why/causal-learn (bd2kccd path not used)
multi-agent	MiroFish	MISSING	666ghj/MiroFish	39d849138ef254f6c737ab4c4705e5545dbe31d4	AGPL-3.0	16802	backend/ (simulation and graph-memory services) [dirs unverified]	EXISTS, 74.4k stars, Python. AGPL: principles only. Listed UNRESOLVED in legacy tools/repo/donors.manifest; mirofish/* code was earlier removed from legacy chronica-execution-state (opportunities.json)
multi-agent	BettaFish	MISSING	666ghj/BettaFish	c4ca6360489b53c38d3d41d213a67b50d2fcb883	GPL-2.0	192617	QueryEngine/, MediaEngine/, InsightEngine/, ForumEngine/, ReportEngine/ [dirs unverified]	EXISTS, 42.3k stars, Python, same author as MiroFish. GPL: principles only. Public-opinion / sentiment multi-agent app, not a foundational primitive
robotics	ROS 2 rclcpp	MISSING	ros2/rclcpp	29de98cf1bc2e736ec1a5f7ad4c74e98c3fd3b17	Apache-2.0	10462	rclcpp/src/rclcpp/executors, node_interfaces [dirs unverified]	default branch rolling
robotics	ros2_control	MISSING	ros-controls/ros2_control	b0c14b5edca8d17fc2996be1909815e8fcb587c6	Apache-2.0	16879	hardware_interface/, controller_manager/ [dirs unverified]	
robotics	Drake	MISSING	RobotLocomotion/drake	324b479a1421a77f46e48745892dfa23f5bdc6c1	BSD-3-Clause	424726	systems/framework, multibody/tree, solvers/ [dirs unverified]	GitHub NOASSERTION; LICENSE.TXT = BSD-3-Clause
robotics	Pinocchio	MISSING	stack-of-tasks/pinocchio	6d53a7bede3f70c8bb949aefde7ba9c6ef01d472	BSD-2-Clause	43075	include/pinocchio/algorithm (RNEA/ABA/CRBA) [dirs unverified]	default branch devel
robotics	MuJoCo	MISSING	google-deepmind/mujoco	c0d845b93c463993eeb7abe1547b45c89dac6f10	Apache-2.0	143485	src/engine [dirs unverified]	
robotics	Gazebo gz-sim	MISSING	gazebosim/gz-sim	ec2a672be4249d5bafe25b0285e88ef3bbdff689	Apache-2.0	247393	src/ (ECS: EntityComponentManager, SimulationRunner), src/systems [dirs unverified]	
robotics	MoveIt 2	MISSING	moveit/moveit2	b222baf2272980e758b90727fa90177d556fb5fa	BSD-3-Clause	95116	moveit_core/planning_scene, moveit_core/robot_state [dirs unverified]	
robotics	PX4	MISSING	PX4/PX4-Autopilot	86716507be65ac348645d35dd483dda1ff92144e	BSD-3-Clause	584511	src/modules (ekf2, commander), msg/ (uORB) [dirs unverified]	
robotics	ArduPilot	MISSING	ArduPilot/ardupilot	4965c4e84a7f5cb48a437ad20ba2c967b034ac0d	GPL-3.0	665189	libraries/AP_NavEKF3, ArduCopter/ [dirs unverified]	GPL: principles only; redundant with PX4 (BSD)
robotics	Zephyr	MISSING	zephyrproject-rtos/zephyr	0f7aa710fefee49da5406b5fb4ad599c56822ae1	Apache-2.0	964450	kernel/ (sched, thread, timeout) [dirs unverified]	960 MB repo: sparse checkout of kernel/
